Phase, RTT (ms)
before_attack, 5.21
before_attack, 6.27
before_attack, 6.69
before_attack, 5.56
before_attack, 5.38
before_attack, 5.47
before_attack, 11.4
before_attack, 6.21
before_attack, 6.99
before_attack, 6.50
before_attack, 6.89
before_attack, 5.26
before_attack, 5.19
before_attack, 5.63
before_attack, 7.78
during_attack, 6.57
during_attack, 22.4
during_attack, 20.8
during_attack, 50.5
during_attack, 58.1
during_attack, 33.2
during_attack, 56.4
during_attack, 62.0
during_attack, 44.0
during_attack, 46.2
during_attack, 39.9
during_attack, 31.9
during_attack, 55.9
during_attack, 58.8
during_attack, 6.87
after_mitigation, 7.00
after_mitigation, 6.21
after_mitigation, 6.64
after_mitigation, 7.12
after_mitigation, 7.01
after_mitigation, 5.98
after_mitigation, 7.13
after_mitigation, 5.66
after_mitigation, 5.07
after_mitigation, 4.51
after_mitigation, 6.08
after_mitigation, 5.66
after_mitigation, 6.12
after_mitigation, 11.3
after_mitigation, 5.31
